GSM4240165	SRR10809717,SRR10809718,SRR10809719,SRR10809720
GSM4240166	SRR10809721,SRR10809722
GSM4240167	SRR10809723,SRR10809724,SRR10809725
GSM4240168	SRR10809726,SRR10809727,SRR10809728,SRR10809729
GSM4240169	SRR10809730,SRR10809731,SRR10809732,SRR10809733,SRR10809734,SRR10809735,SRR10809736,SRR10809737
GSM4240170	SRR10809738,SRR10809739,SRR10809740,SRR10809741
GSM4240171	SRR10809742,SRR10809743
GSM4240172	SRR10809744,SRR10809745,SRR10809746,SRR10809747,SRR10809748,SRR10809749,SRR10809750,SRR10809751
GSM4240173	SRR10809752,SRR10809753,SRR10809754,SRR10809755,SRR10809756,SRR10809757,SRR10809758,SRR10809759
GSM4240174	SRR10809760,SRR10809761,SRR10809762,SRR10809763,SRR10809764,SRR10809765,SRR10809766,SRR10809767
GSM4240175	SRR10809768,SRR10809769,SRR10809770,SRR10809771,SRR10809772,SRR10809773,SRR10809774,SRR10809775
GSM4240176	SRR10809776,SRR10809777,SRR10809778,SRR10809779,SRR10809780,SRR10809781,SRR10809782,SRR10809783
GSM4240177	SRR10809784,SRR10809785,SRR10809786,SRR10809787,SRR10809788,SRR10809789,SRR10809790,SRR10809791
GSM4240178	SRR10809792,SRR10809793,SRR10809794,SRR10809795,SRR10809796,SRR10809797,SRR10809798,SRR10809799
GSM4240179	SRR10809800,SRR10809801,SRR10809802,SRR10809803,SRR10809804,SRR10809805,SRR10809806,SRR10809807
GSM4240180	SRR10809808,SRR10809809,SRR10809810,SRR10809811
GSM4240181	SRR10809812,SRR10809813
GSM4240182	SRR10809814,SRR10809815
GSM4240183	SRR10809816,SRR10809817
GSM4240184	SRR10809818,SRR10809819
GSM4240185	SRR10809820,SRR10809821,SRR10809822,SRR10809823
GSM4240186	SRR10809824,SRR10809825,SRR10809826,SRR10809827,SRR10809828,SRR10809829,SRR10809830,SRR10809831
GSM4240187	SRR10809832,SRR10809833,SRR10809834,SRR10809835,SRR10809836,SRR10809837,SRR10809838,SRR10809839
GSM4240188	SRR10809840,SRR10809841,SRR10809842,SRR10809843,SRR10809844,SRR10809845,SRR10809846,SRR10809847
GSM4240189	SRR10809848,SRR10809849,SRR10809850,SRR10809851,SRR10809852,SRR10809853,SRR10809854,SRR10809855
GSM4240190	SRR10809856,SRR10809857,SRR10809858,SRR10809859,SRR10809860,SRR10809861,SRR10809862,SRR10809863
GSM4240191	SRR10809864,SRR10809865,SRR10809866,SRR10809867,SRR10809868,SRR10809869,SRR10809870,SRR10809871
GSM4240192	SRR10809872,SRR10809873,SRR10809874,SRR10809875,SRR10809876,SRR10809877,SRR10809878,SRR10809879
GSM4240193	SRR10809880,SRR10809881,SRR10809882,SRR10809883,SRR10809884,SRR10809885,SRR10809886,SRR10809887
GSM4240194	SRR10809888,SRR10809889,SRR10809890,SRR10809891,SRR10809892,SRR10809893,SRR10809894,SRR10809895
GSM4240195	SRR10809896,SRR10809897,SRR10809898,SRR10809899,SRR10809900,SRR10809901,SRR10809902,SRR10809903
GSM4240196	SRR10809904,SRR10809905,SRR10809906,SRR10809907,SRR10809908,SRR10809909,SRR10809910,SRR10809911
GSM4240197	SRR10809912,SRR10809913,SRR10809914,SRR10809915,SRR10809916,SRR10809917,SRR10809918,SRR10809919
GSM4240198	SRR10809920,SRR10809921,SRR10809922,SRR10809923,SRR10809924,SRR10809925,SRR10809926,SRR10809927
GSM4240199	SRR10809928,SRR10809929,SRR10809930,SRR10809931,SRR10809932,SRR10809933,SRR10809934,SRR10809935
GSM4240200	SRR10809936,SRR10809937,SRR10809938,SRR10809939,SRR10809940,SRR10809941,SRR10809942,SRR10809943
GSM4240201	SRR10809944,SRR10809945,SRR10809946,SRR10809947,SRR10809948,SRR10809949,SRR10809950,SRR10809951
GSM4240202	SRR10809952,SRR10809953,SRR10809954,SRR10809955,SRR10809956,SRR10809957,SRR10809958,SRR10809959
